time,A,B,C
0,0,0,60
0.01,0,0,60
0.02,0,0,60
0.03,0,0,60
0.04,0,0,60
0.05,0,0,60
0.06,0,0,60
0.07,1,1,59
0.08,1,1,59
0.09,2,2,58
0.1,2,2,58
0.11,2,2,58
0.12,2,2,58
0.13,2,2,58
0.14,2,2,58
0.15,2,2,58
0.16,2,2,58
0.17,2,2,58
0.18,2,2,58
0.19,2,2,58
0.2,2,2,58
0.21,2,2,58
0.22,2,2,58
0.23,2,2,58
0.24,2,2,58
0.25,2,2,58
0.26,2,2,58
0.27,2,2,58
0.28,3,3,57
0.29,3,3,57
0.3,3,3,57
0.31,3,3,57
0.32,3,3,57
0.33,3,3,57
0.34,3,3,57
0.35,3,3,57
0.36,3,3,57
0.37,3,3,57
0.38,3,3,57
0.39,3,3,57
0.4,3,3,57
0.41,4,4,56
0.42,4,4,56
0.43,4,4,56
0.44,5,5,55
0.45,5,5,55
0.46,5,5,55
0.47,5,5,55
0.48,5,5,55
0.49,5,5,55
0.5,5,5,55
0.51,5,5,55
0.52,5,5,55
0.53,6,6,54
0.54,7,7,53
0.55,7,7,53
0.56,7,7,53
0.57,7,7,53
0.58,7,7,53
0.59,7,7,53
0.6,8,8,52
0.61,8,8,52
0.62,8,8,52
0.63,8,8,52
0.64,8,8,52
0.65,8,8,52
0.66,8,8,52
0.67,8,8,52
0.68,8,8,52
0.69,8,8,52
0.7,8,8,52
0.71,8,8,52
0.72,8,8,52
0.73,8,8,52
0.74,8,8,52
0.75,8,8,52
0.76,9,9,51
0.77,9,9,51
0.78,9,9,51
0.79,9,9,51
0.8,10,10,50
0.81,10,10,50
0.82,10,10,50
0.83,12,12,48
0.84,12,12,48
0.85,13,13,47
0.86,13,13,47
0.87,13,13,47
0.88,13,13,47
0.89,13,13,47
0.9,13,13,47
0.91,13,13,47
0.92,13,13,47
0.93,13,13,47
0.94,13,13,47
0.95,13,13,47
0.96,13,13,47
0.97,13,13,47
0.98,13,13,47
0.99,13,13,47
1,13,13,47
1.01,13,13,47
1.02,13,13,47
1.03,13,13,47
1.04,13,13,47
1.05,14,14,46
1.06,14,14,46
1.07,14,14,46
1.08,14,14,46
1.09,14,14,46
1.1,14,14,46
1.11,14,14,46
1.12,14,14,46
1.13,14,14,46
1.14,15,15,45
1.15,15,15,45
1.16,15,15,45
1.17,14,14,46
1.18,14,14,46
1.19,14,14,46
1.2,14,14,46
1.21,15,15,45
1.22,15,15,45
1.23,16,16,44
1.24,16,16,44
1.25,16,16,44
1.26,16,16,44
1.27,16,16,44
1.28,16,16,44
1.29,16,16,44
1.3,16,16,44
1.31,16,16,44
1.32,16,16,44
1.33,16,16,44
1.34,16,16,44
1.35,16,16,44
1.36,17,17,43
1.37,17,17,43
1.38,17,17,43
1.39,18,18,42
1.4,19,19,41
1.41,20,20,40
1.42,21,21,39
1.43,21,21,39
1.44,21,21,39
1.45,21,21,39
1.46,21,21,39
1.47,21,21,39
1.48,21,21,39
1.49,22,22,38
1.5,22,22,38
1.51,22,22,38
1.52,22,22,38
1.53,22,22,38
1.54,22,22,38
1.55,22,22,38
1.56,24,24,36
1.57,24,24,36
1.58,25,25,35
1.59,25,25,35
1.6,25,25,35
1.61,25,25,35
1.62,25,25,35
1.63,25,25,35
1.64,25,25,35
1.65,26,26,34
1.66,26,26,34
1.67,26,26,34
1.68,25,25,35
1.69,25,25,35
1.7,24,24,36
1.71,24,24,36
1.72,24,24,36
1.73,24,24,36
1.74,24,24,36
1.75,24,24,36
1.76,24,24,36
1.77,24,24,36
1.78,24,24,36
1.79,24,24,36
1.8,24,24,36
1.81,24,24,36
1.82,24,24,36
1.83,24,24,36
1.84,24,24,36
1.85,24,24,36
1.86,24,24,36
1.87,24,24,36
1.88,24,24,36
1.89,24,24,36
1.9,24,24,36
1.91,24,24,36
1.92,24,24,36
1.93,24,24,36
1.94,24,24,36
1.95,24,24,36
1.96,24,24,36
1.97,24,24,36
1.98,25,25,35
1.99,26,26,34
2,26,26,34
2.01,26,26,34
2.02,26,26,34
2.03,26,26,34
2.04,26,26,34
2.05,26,26,34
2.06,26,26,34
2.07,26,26,34
2.08,26,26,34
2.09,26,26,34
2.1,26,26,34
2.11,26,26,34
2.12,26,26,34
2.13,26,26,34
2.14,26,26,34
2.15,26,26,34
2.16,26,26,34
2.17,28,28,32
2.18,28,28,32
2.19,28,28,32
2.2,28,28,32
2.21,28,28,32
2.22,28,28,32
2.23,28,28,32
2.24,27,27,33
2.25,27,27,33
2.26,27,27,33
2.27,27,27,33
2.28,27,27,33
2.29,27,27,33
2.3,27,27,33
2.31,27,27,33
2.32,27,27,33
2.33,27,27,33
2.34,27,27,33
2.35,27,27,33
2.36,28,28,32
2.37,29,29,31
2.38,29,29,31
2.39,28,28,32
2.4,28,28,32
2.41,28,28,32
2.42,27,27,33
2.43,27,27,33
2.44,27,27,33
2.45,27,27,33
2.46,27,27,33
2.47,26,26,34
2.48,26,26,34
2.49,26,26,34
2.5,26,26,34
2.51,26,26,34
2.52,26,26,34
2.53,26,26,34
2.54,27,27,33
2.55,27,27,33
2.56,27,27,33
2.57,28,28,32
2.58,28,28,32
2.59,28,28,32
2.6,28,28,32
2.61,28,28,32
2.62,28,28,32
2.63,28,28,32
2.64,28,28,32
2.65,28,28,32
2.66,28,28,32
2.67,28,28,32
2.68,28,28,32
2.69,28,28,32
2.7,28,28,32
2.71,28,28,32
2.72,28,28,32
2.73,28,28,32
2.74,27,27,33
2.75,27,27,33
2.76,27,27,33
2.77,27,27,33
2.78,27,27,33
2.79,27,27,33
2.8,27,27,33
2.81,27,27,33
2.82,27,27,33
2.83,27,27,33
2.84,27,27,33
2.85,27,27,33
2.86,27,27,33
2.87,26,26,34
2.88,26,26,34
2.89,26,26,34
2.9,26,26,34
2.91,26,26,34
2.92,25,25,35
2.93,25,25,35
2.94,24,24,36
2.95,24,24,36
2.96,24,24,36
2.97,24,24,36
2.98,24,24,36
2.99,24,24,36
3,24,24,36
3.01,24,24,36
3.02,25,25,35
3.03,24,24,36
3.04,24,24,36
3.05,24,24,36
3.06,25,25,35
3.07,25,25,35
3.08,25,25,35
3.09,25,25,35
3.1,25,25,35
3.11,25,25,35
3.12,24,24,36
3.13,25,25,35
3.14,25,25,35
3.15,25,25,35
3.16,25,25,35
3.17,25,25,35
3.18,24,24,36
3.19,24,24,36
3.2,24,24,36
